OContractID,OwnerID,DateOfCommencement,DateOfExpiration,Duration,Owner Revenue
70,41,2025-02-24,2025-10-10,228,3596.38
71,78,2025-09-01,2026-03-14,194,13040.9
72,11,2025-06-30,2026-01-21,205,2819.71
73,4,2025-03-29,2026-03-16,352,3744.19
74,90,2025-10-26,2026-03-12,137,7242.21
75,74,2025-11-23,2026-04-18,146,4733.41
76,52,2025-02-06,2025-09-02,208,8849.4
77,18,2025-12-11,2026-07-08,209,13138.85
78,61,2025-06-09,2026-04-24,319,13866.49
79,6,2025-09-05,2026-02-13,161,7702.55
80,1,2025-03-15,2026-01-18,309,4372.55
81,45,2025-06-09,2025-12-04,178,12596.52
82,19,2025-01-19,2025-03-31,71,8740.48
83,55,2025-01-15,2025-02-18,34,14587.61
84,38,2025-08-25,2026-06-11,290,4562.63
85,10,2025-02-14,2025-12-19,308,11495.93
86,90,2025-01-16,2025-11-08,296,11434.93
87,100,2025-07-26,2025-12-01,128,10402.76
88,17,2025-08-10,2025-09-18,39,7040.68
89,18,2025-11-01,2026-06-16,227,10164.58
90,16,2025-01-01,2025-11-14,317,7504.47
91,13,2025-12-19,2026-05-09,141,1239.26
92,60,2025-07-02,2026-04-10,282,4135.65
93,49,2025-10-29,2026-03-07,129,9177.81
94,68,2025-01-31,2025-08-29,210,9375.59
95,20,2025-08-15,2025-11-02,79,3245.37
96,62,2025-07-30,2025-10-14,76,6008.19
97,97,2025-08-30,2026-07-05,309,11912.44
98,38,2025-05-04,2025-07-16,73,8012.09
99,50,2025-12-02,2026-05-19,168,1267.27
100,23,2025-05-03,2025-11-04,185,9238.38
101,72,2025-05-26,2026-05-02,341,6985.21
102,42,2025-03-02,2025-05-31,90,1913.14
103,42,2025-10-24,2026-02-13,112,7339.98
104,37,2025-09-15,2026-04-21,218,6206.85
105,64,2025-04-20,2026-04-20,365,5392.91
106,37,2025-12-12,2026-04-16,125,12769.73
107,80,2025-05-23,2026-02-04,257,14436.35
108,69,2025-06-14,2026-01-01,201,9343.58
109,4,2025-02-09,2025-09-25,228,4168.72
110,32,2025-01-01,2025-11-29,332,11860.09
111,57,2025-01-14,2025-02-25,42,9748.23
112,5,2025-08-11,2026-03-02,203,2838.47
113,94,2025-07-11,2026-06-01,325,2868.06
114,96,2025-06-12,2026-05-14,336,10645.47
115,53,2025-12-25,2026-06-28,185,7489.62
116,91,2025-10-12,2026-08-30,322,10498.11
117,100,2025-05-11,2025-09-17,129,11596.97
118,99,2025-10-15,2025-11-26,42,1641.12
119,16,2025-10-04,2026-09-09,340,4577.41
120,43,2025-09-07,2026-05-27,262,6313.16
121,16,2025-06-12,2025-08-02,51,4486.57
122,86,2025-06-16,2026-06-01,350,10147.55
123,61,2025-02-06,2025-07-29,173,9650.2
124,71,2025-06-30,2025-09-06,68,4791.71
125,64,2025-11-17,2026-01-06,50,13182.02
126,79,2025-12-27,2026-05-12,136,3212.2
127,23,2025-05-15,2026-01-06,236,9796.56
128,19,2025-06-07,2025-09-09,94,1615.32
129,40,2025-11-03,2026-06-24,233,2450.72
130,6,2025-07-21,2026-02-28,222,13004.47
131,8,2025-11-03,2026-06-15,224,863.57
132,38,2025-12-10,2026-09-24,288,12160.63
133,7,2025-09-21,2026-03-03,163,3641.82
134,41,2025-10-28,2026-03-08,131,10329.04
135,100,2025-01-01,2025-09-22,264,8869.25
136,39,2025-04-06,2025-09-25,172,725.65
137,97,2025-03-29,2025-08-13,137,8842.19
138,27,2025-09-10,2026-05-25,257,13666.67
139,62,2025-12-08,2026-01-18,41,5817.68
140,54,2025-12-10,2026-08-22,255,6992.89
141,87,2025-04-29,2026-02-11,288,6192.98
142,30,2025-03-20,2026-01-28,314,2289.74
143,69,2025-03-02,2025-10-28,240,10788.0
144,80,2025-09-02,2025-11-29,88,10023.77
145,49,2025-07-15,2025-12-18,156,10452.68
146,29,2025-01-29,2025-10-31,275,10391.21
147,33,2025-03-23,2026-01-29,312,12256.21
148,55,2025-07-24,2026-01-18,178,7839.32
149,15,2025-02-26,2025-10-14,230,11182.12
150,59,2025-05-11,2026-03-18,311,5330.67
