CampaignID,OContractID,CContractID,Campaign Name,Start Date,End Date,Target Audience,Status
244,142,48,AutumnFest_244,2025-03-30,2025-06-11,31665,Active
245,113,139,SpringSplash_245,2025-03-27,2025-05-28,84342,Active
246,103,98,EasterSpecial_246,2025-03-25,2025-05-29,85483,Active
247,34,240,WinterWonder_247,2025-03-24,2025-06-17,80946,Active
248,101,26,Back2School_248,2025-04-05,2025-06-03,71008,Active
249,167,138,EasterSpecial_249,2025-03-26,2025-07-10,40092,Active
250,90,72,EasterSpecial_250,2025-04-03,2025-05-17,81174,Active
251,140,100,WinterWonder_251,2025-03-27,2025-06-05,52950,Active
252,217,25,WinterWonder_252,2025-03-24,2025-06-15,63414,Active
253,58,93,SpringSplash_253,2025-03-26,2025-07-17,52726,Active
254,8,154,SpringSplash_254,2025-04-08,2025-05-25,56733,Active
255,79,174,NewYearKickoff_255,2025-03-26,2025-07-07,87185,Active
256,92,238,HolidayPromo_256,2025-03-26,2025-05-17,64919,Active
257,151,121,AutumnFest_257,2025-03-24,2025-05-01,92083,Active
258,186,57,SummerSale_258,2025-04-02,2025-07-30,66329,Active
259,181,116,CyberMonday_259,2025-04-03,2025-06-27,84819,Active
260,213,75,SpringSplash_260,2025-04-06,2025-05-12,51364,Active
261,208,236,SummerSale_261,2025-03-30,2025-06-18,25923,Active
262,237,26,SummerSale_262,2025-04-08,2025-05-08,32021,Active
263,139,129,NewYearKickoff_263,2025-04-03,2025-06-28,29636,Active
264,104,221,Back2School_264,2025-04-03,2025-07-04,43424,Active
265,113,247,EasterSpecial_265,2025-04-04,2025-07-20,76851,Active
266,182,194,Back2School_266,2025-04-02,2025-07-17,65101,Active
267,96,238,SpringSplash_267,2025-04-06,2025-06-10,61542,Active
268,55,112,SpringSplash_268,2025-03-31,2025-07-15,81649,Active
269,33,112,NewYearKickoff_269,2025-03-27,2025-05-25,43036,Active
270,50,125,CyberMonday_270,2025-03-27,2025-04-28,59002,Active
271,229,104,HolidayPromo_271,2025-03-24,2025-05-07,52073,Active
272,228,187,CyberMonday_272,2025-04-02,2025-05-13,91646,Active
273,46,64,CyberMonday_273,2025-04-07,2025-06-26,27773,Active
274,247,150,SpringSplash_274,2025-04-08,2025-07-26,78050,Active
275,102,128,EasterSpecial_275,2025-04-01,2025-06-28,47460,Active
276,44,138,NewYearKickoff_276,2025-03-28,2025-05-18,33956,Active
277,219,105,EasterSpecial_277,2025-03-24,2025-07-22,50085,Active
278,65,95,SummerSale_278,2025-03-30,2025-07-27,31835,Active
279,77,130,CyberMonday_279,2025-03-30,2025-05-06,98867,Active
280,5,21,SummerSale_280,2025-04-01,2025-07-13,90400,Active
281,132,52,HolidayPromo_281,2025-03-28,2025-05-06,20543,Active
282,116,133,Back2School_282,2025-04-04,2025-07-15,44061,Active
283,231,189,NewYearKickoff_283,2025-04-06,2025-07-21,27989,Active
284,148,236,WinterWonder_284,2025-03-31,2025-06-23,27551,Active
285,250,149,BlackFriday_285,2025-03-30,2025-06-06,89063,Active
286,121,15,NewYearKickoff_286,2025-03-30,2025-07-24,53389,Active
287,243,110,AutumnFest_287,2025-04-03,2025-05-28,34853,Active
288,136,154,AutumnFest_288,2025-04-01,2025-05-05,41425,Active
289,1,61,WinterWonder_289,2025-03-25,2025-04-25,60920,Active
290,21,159,BlackFriday_290,2025-03-30,2025-07-04,29021,Active
291,119,241,NewYearKickoff_291,2025-03-26,2025-06-05,42952,Active
292,47,229,Back2School_292,2025-03-29,2025-06-09,72100,Active
293,191,64,NewYearKickoff_293,2025-03-25,2025-05-01,25010,Active
294,235,91,Back2School_294,2025-03-28,2025-07-02,78723,Active
295,135,62,SpringSplash_295,2025-04-08,2025-05-10,55496,Active
296,151,2,NewYearKickoff_296,2025-04-04,2025-06-04,52546,Active
297,96,166,SummerSale_297,2025-03-25,2025-06-16,43409,Active
298,31,76,HolidayPromo_298,2025-04-01,2025-06-19,65263,Active
299,131,216,SummerSale_299,2025-03-31,2025-07-29,79328,Active
300,196,215,WinterWonder_300,2025-04-07,2025-07-09,55517,Active
