CContractID,ClientID,DateOfCommencement,DateOfExpiration,Duration,Expense,Click Profit
205,67,2025-09-09,2026-01-16,129,6827.97,4.08
206,14,2025-09-24,2026-01-28,126,11479.51,1.71
207,124,2025-09-15,2026-06-27,285,12827.15,4.30
208,43,2025-09-25,2026-07-07,285,15692.10,0.75
209,156,2025-09-11,2025-12-02,82,9455.19,2.62
210,24,2025-09-05,2025-12-19,105,3813.21,2.08
211,47,2025-09-23,2026-03-21,179,9123.80,0.52
212,34,2025-09-22,2026-03-27,186,1646.40,3.91
213,197,2025-09-14,2025-12-09,86,8687.23,2.62
214,171,2025-09-18,2026-04-26,220,2097.97,1.81
215,196,2025-09-04,2026-05-03,241,10485.92,4.85
216,199,2025-09-08,2025-11-28,81,17521.74,1.23
217,139,2025-09-19,2026-01-11,114,11060.02,0.91
218,172,2025-09-19,2026-01-28,131,19705.81,3.86
219,107,2025-09-10,2026-04-17,219,16890.37,3.82
220,69,2025-09-29,2026-02-24,148,7508.46,3.97
221,155,2025-09-03,2026-01-08,127,7257.63,2.26
222,139,2025-09-08,2026-03-14,187,7144.41,4.21
223,149,2025-09-05,2025-12-04,90,12384.01,3.34
224,6,2025-09-08,2026-06-24,289,10432.63,2.21
225,7,2025-09-27,2025-12-24,88,18008.72,1.44
226,1,2025-09-19,2026-07-16,300,13225.01,4.87
227,86,2025-09-11,2026-04-21,222,5502.41,3.20
228,176,2025-09-03,2026-01-21,140,6474.58,1.63
229,85,2025-09-08,2025-11-22,75,12147.61,3.45
230,196,2025-09-01,2026-04-18,229,4703.18,0.86
231,28,2025-09-25,2026-01-09,106,9834.26,4.78
232,146,2025-09-16,2026-07-05,292,8219.68,3.72
233,93,2025-09-06,2026-03-25,200,9814.57,4.19
234,193,2025-09-25,2026-03-16,172,2697.92,4.05
235,64,2025-09-26,2026-05-10,226,6312.48,1.93
236,77,2025-09-23,2026-03-29,187,14052.32,1.00
237,195,2025-09-23,2026-03-14,172,5346.14,4.12
238,183,2025-09-21,2026-06-26,278,18034.99,2.98
239,134,2025-09-27,2026-01-08,103,9699.39,0.51
240,53,2025-09-23,2026-07-14,294,17870.11,4.95
241,101,2025-09-05,2026-06-06,274,19998.06,2.23
242,2,2025-09-13,2025-12-18,96,17565.03,1.13
243,27,2025-09-07,2026-04-25,230,9470.38,3.23
244,114,2025-09-28,2026-02-01,126,9578.84,1.27
245,20,2025-09-21,2026-06-26,278,8812.43,2.59
246,194,2025-09-28,2026-01-05,99,2939.95,3.02
247,15,2025-09-29,2026-03-22,174,9660.12,1.61
248,16,2025-09-28,2026-06-30,275,19618.29,2.84
249,169,2025-09-27,2025-12-18,82,14072.38,1.52
250,129,2025-09-15,2026-06-08,266,19199.05,4.82
